Value,Count,MUKEY,musym,muname,aws0150wta,flodfreqdcd,AREASYMBOL,areaname,farmlndcl,tfact,drainagecl,runoff,cokey,hzdept_r,hzdepb_r,hzname,desgndisc,awc_r,chkey,hydriccriterion
537802,7948.000000000000000,537802,HcB,"Hackers silt loam, 3 to 8 percent slopes, rarely flooded",29.4599991,Rare,OH111,"Monroe County, Ohio",All areas are prime farmland,5,Moderately well drained,,24058537,18,48,Bw1,,0.1500000,71550277,
537803,160714.000000000000000,537803,He,Hartshorn silt loam,11.9399996,Occasional,OH111,"Monroe County, Ohio",All areas are prime farmland,,,,24058478,,,,,,,
537804,14458.000000000000000,537804,Hr,"Hartshorn silt loam, wet variant",15.0500002,Occasional,OH111,"Monroe County, Ohio",Prime farmland if drained,,,,24058326,,,,,,,3
537805,29845.000000000000000,537805,Hu,Huntington silt loam,30.0000000,Occasional,OH111,"Monroe County, Ohio",All areas are prime farmland,5,Well drained,Low,24058484,0,33,H1,,0.2000000,71550132,
537806,3414.000000000000000,537806,KeB,"Keene silt loam, 3 to 8 percent slopes",21.2700005,None,OH111,"Monroe County, Ohio",Not prime farmland,4,Moderately well drained,,24058548,117,142,2Cr,2,,71550326,
537807,19988.000000000000000,537807,KeC2,"Keene silt loam, 6 to 12 percent slopes, moderately eroded",24.1000004,None,OH111,"Monroe County, Ohio",Not prime farmland,,,,24058645,,,,,,,
537808,24671.000000000000000,537808,KlD2,"Keene-Latham silt loam, 12 to 18 percent slopes, moderately eroded",23.2800007,None,OH111,"Monroe County, Ohio",Not prime farmland,,,,24058650,,,,,,,
537809,4113.000000000000000,537809,LdE2,"Latham-Keene silt loams, 18 to 35 percent slopes, moderately eroded",22.7399998,None,OH111,"Monroe County, Ohio",Not prime farmland,,,,24058655,,,,,,,
537810,59302.000000000000000,537810,Lh,Lindside silt loam,30.0000000,Occasional,OH111,"Monroe County, Ohio",All areas are prime farmland,,,,24058659,,,,,,,3
537811,60324.000000000000000,537811,Ma,Made land,,,OH111,"Monroe County, Ohio",Not prime farmland,,,,24058328,,,,,,,
537812,5058.000000000000000,537812,Nn,"Newark silt loam, 0 to 3 percent slopes, frequently flooded",24.3600006,Frequent,OH111,"Monroe County, Ohio",Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,5,Somewhat poorly drained,Low,24058391,22,47,Bw,,0.1600000,71549914,
537813,1822.000000000000000,537813,Pq,"Pits, quarry",,,OH111,"Monroe County, Ohio",Not prime farmland,,,,24058329,,,,,,,
537814,12709.000000000000000,537814,RcD2,"Rarden-Coolville silt loams, 12 to 18 percent slopes, moderately eroded",22.1700001,None,OH111,"Monroe County, Ohio",Not prime farmland,,,,24058488,,,,,,,
537816,14204.000000000000000,537816,ScB,"Sciotoville silt loam, 0 to 4 percent slopes",19.0000000,None,OH111,"Monroe County, Ohio",All areas are prime farmland,,,,24058191,,,,,,,3
537817,16095.000000000000000,537817,SsD,"Sees-Woolper silt loams, 12 to 18 percent slopes",26.6499996,None,OH111,"Monroe County, Ohio",Not prime farmland,5,Well drained,High,24058195,0,18,H1,,0.2100000,71549329,
537818,74908.000000000000000,537818,SsE,"Sees-Woolper silt loams, 18 to 35 percent slopes",24.8899994,None,OH111,"Monroe County, Ohio",Not prime farmland,5,Well drained,Very high,24058198,0,18,H1,,0.2100000,71549334,
537820,9825.000000000000000,537820,UpC2,"Upshur silt loam, 6 to 12 percent slopes, moderately eroded",18.1200008,None,OH111,"Monroe County, Ohio",Not prime farmland,,,,24058330,,,,,,,
537821,8352.000000000000000,537821,UpD2,"Upshur silt loam, 12 to 18 percent slopes, moderately eroded",18.1200008,None,OH111,"Monroe County, Ohio",Not prime farmland,,,,24058492,,,,,,,
537822,7603.000000000000000,537822,UrC3,"Upshur clay, 6 to 12 percent slopes, severely eroded",18.1200008,None,OH111,"Monroe County, Ohio",Not prime farmland,3,Well drained,Very high,24058333,0,13,H1,,0.2000000,71549737,
537823,43957.000000000000000,537823,UrD3,"Upshur clay, 12 to 18 percent slopes, severely eroded",18.1200008,None,OH111,"Monroe County, Ohio",Not prime farmland,3,Well drained,Very high,24058495,0,13,H1,,0.2000000,71550146,
537824,8433.000000000000000,537824,VaD,"Vandalia silt loam, 15 to 25 percent slopes",22.3600006,None,OH111,"Monroe County, Ohio",Not prime farmland,4,Well drained,,24058709,25,94,Bt2,,0.1100000,71550740,
537825,34356.000000000000000,537825,VdE,"Vandalia-Sees silt loams, 18 to 35 percent slopes",22.9799995,None,OH111,"Monroe County, Ohio",Not prime farmland,,,,24058664,,,,,,,
537826,2406.000000000000000,537826,VsE2,"Vandalia-Sees very stony silt loams, 18 to 35 percent slopes, moderately eroded",22.8799992,None,OH111,"Monroe County, Ohio",Not prime farmland,,,,24058669,,,,,,,
537827,51532.000000000000000,537827,W,Water,,,OH111,"Monroe County, Ohio",Not prime farmland,,,,24058677,,,,,,,
537828,12523.000000000000000,537828,WhB2,"Wellston silt loam, 2 to 6 percent slopes, moderately eroded",21.4200001,None,OH111,"Monroe County, Ohio",All areas are prime farmland,,,,24058497,,,,,,,
537829,113349.000000000000000,537829,WhC2,"Wellston silt loam, 6 to 12 percent slopes, moderately eroded",21.4200001,None,OH111,"Monroe County, Ohio",Not prime farmland,,,,24058334,,,,,,,
537830,141474.000000000000000,537830,WhD,"Wellston silt loam, 12 to 18 percent slopes",16.6900005,None,OH111,"Monroe County, Ohio",Not prime farmland,3,Well drained,,24058553,13,76,Bt,,0.1500000,71550357,
537831,18129.000000000000000,537831,WrA,"Wheeling silt loam, 0 to 3 percent slopes",18.2700005,None,OH111,"Monroe County, Ohio",All areas are prime farmland,5,Well drained,,24058696,0,26,Ap,,0.1500000,71550684,
537832,9135.000000000000000,537832,WrB,"Wheeling silt loam, 3 to 8 percent slopes",17.9899998,None,OH111,"Monroe County, Ohio",All areas are prime farmland,5,Well drained,,24058700,0,26,Ap,,0.1500000,71550698,
537833,5584.000000000000000,537833,WrC2,"Wheeling silt loam, 8 to 15 percent slopes",18.2800007,None,OH111,"Monroe County, Ohio",Not prime farmland,5,Well drained,,24058703,0,26,Ap,,0.1500000,71550708,
537834,4250.000000000000000,537834,WtB,"Woodsfield silt loam, 3 to 8 percent slopes",22.8199997,None,OH111,"Monroe County, Ohio",Not prime farmland,4,Well drained,,24058723,0,18,Ap,,0.2300000,71550818,
537835,9784.000000000000000,537835,WtC2,"Woodsfield silt loam, 6 to 12 percent slopes",22.8199997,None,OH111,"Monroe County, Ohio",Not prime farmland,4,Well drained,,24058729,25,51,Bt1,,0.2000000,71550854,
537836,5036.000000000000000,537836,WtD2,"Woodsfield silt loam, 12 to 18 percent slopes, moderately eroded",21.0599995,None,OH111,"Monroe County, Ohio",Not prime farmland,4,Well drained,High,24058339,0,18,H1,,0.2000000,71549746,
537837,10657.000000000000000,537837,WxB,"Woolper silt loam, 2 to 6 percent slopes",27.5400009,None,OH111,"Monroe County, Ohio",All areas are prime farmland,5,Well drained,Medium,24058500,0,18,H1,,0.2100000,71550155,
537838,4450.000000000000000,537838,WyC,"Woolper and Sees silt loams, 6 to 12 percent slopes",23.1399994,None,OH111,"Monroe County, Ohio",Not prime farmland,5,Well drained,High,24058341,0,18,H1,,0.2100000,71549751,
537839,80112.000000000000000,537839,ZnB,"Zanesville silt loam, 3 to 8 percent slopes",19.0599995,None,OH111,"Monroe County, Ohio",Not prime farmland,3,Well drained,,24058249,8,13,BA,,0.2000000,71549539,
537840,33273.000000000000000,537840,ZnB2,"Zanesville silt loam, 2 to 6 percent slopes, moderately eroded",21.6800003,None,OH111,"Monroe County, Ohio",All areas are prime farmland,,,,24058344,,,,,,,
537842,40745.000000000000000,537842,ZnC,"Zanesville silt loam, 6 to 12 percent slopes",19.7000008,None,OH111,"Monroe County, Ohio",Not prime farmland,4,Moderately well drained,,24058720,0,23,Ap,,0.2300000,71550802,
537844,12956.000000000000000,537844,ZoB,"Zanesville-Woodsfield silt loams, 2 to 6 percent slopes",21.4599991,None,OH111,"Monroe County, Ohio",All areas are prime farmland,,,,24058683,,,,,,,
537845,22095.000000000000000,537845,ZoB2,"Zanesville-Woodsfield silt loams, 2 to 6 percent slopes, moderately eroded",21.4599991,None,OH111,"Monroe County, Ohio",All areas are prime farmland,,,,24058347,,,,,,,
537846,27228.000000000000000,537846,ZoC,"Zanesville-Woodsfield silt loams, 6 to 12 percent slopes",21.4599991,None,OH111,"Monroe County, Ohio",Not prime farmland,,,,24058503,,,,,,,
537847,205829.000000000000000,537847,ZoC2,"Zanesville-Woodsfield silt loams, 6 to 12 percent slopes, eroded",20.7299995,None,OH111,"Monroe County, Ohio",Not prime farmland,4,Moderately well drained,,24058401,48,140,2H3,2,0.1400000,71549967,
537849,49110.000000000000000,537849,AaB,"Aaron silt loam, 2 to 8 percent slopes",16.8099995,None,OH119,"Muskingum County, Ohio",All areas are prime farmland,4,Moderately well drained,,24173639,0,18,H1,,0.2200000,71848774,
537850,386630.000000000000000,537850,AaC2,"Aaron silt loam, 8 to 15 percent slopes, eroded",17.3099995,None,OH119,"Muskingum County, Ohio",Farmland of local importance,4,Moderately well drained,,24173809,0,15,A,,0.2300000,71849191,
537851,111112.000000000000000,537851,AaD2,"Aaron silt loam, 15 to 25 percent slopes, eroded",10.8800001,None,OH119,"Muskingum County, Ohio",Farmland of local importance,,Somewhat poorly drained,,24173952,,,,,,,
537852,18761.000000000000000,537852,AcB,"Aaron-Upshur complex, 2 to 6 percent slopes",18.4500008,None,OH119,"Muskingum County, Ohio",All areas are prime farmland,4,Moderately well drained,High,24173528,0,18,H1,,0.2100000,71848533,
537853,214840.000000000000000,537853,AfB,"Alford silt loam, 2 to 8 percent slopes",29.9599991,None,OH119,"Muskingum County, Ohio",All areas are prime farmland,5,Well drained,Medium,24173967,0,25,H1,,0.2300000,71849473,
537854,213884.000000000000000,537854,AfC2,"Alford silt loam, 8 to 15 percent slopes, eroded",29.9599991,None,OH119,"Muskingum County, Ohio",Farmland of local importance,5,Well drained,Medium,24173684,0,25,H1,,0.2300000,71848923,
537855,6498.000000000000000,537855,BeB,"Berks channery silt loam, 3 to 8 percent slopes",9.1700001,None,OH119,"Muskingum County, Ohio",Not prime farmland,1,Well drained,,24174067,18,38,Bw,,0.1300000,71849633,
537856,64179.000000000000000,537856,BeD2,"Berks channery silt loam, 15 to 25 percent slopes, eroded",6.8299999,None,OH119,"Muskingum County, Ohio",Not prime farmland,,,,24173688,,,,,,,
537857,303451.000000000000000,537857,BeE,"Berks channery silt loam, 25 to 35 percent slopes",7.8000002,None,OH119,"Muskingum County, Ohio",Not prime farmland,2,Well drained,,24173916,8,33,Bw1,,0.1200000,71849334,
537858,856910.000000000000000,537858,BkF,"Berks-Westmoreland complex, 40 to 70 percent slopes",10.4700003,None,OH119,"Muskingum County, Ohio",Not prime farmland,,,,24173842,,,,,,,
537862,34110.000000000000000,537862,BsC2,"Brookside silty clay loam, 8 to 15 percent slopes, eroded",19.0000000,None,OH119,"Muskingum County, Ohio",Farmland of local importance,,,,24173971,,,,,,,
537863,51444.000000000000000,537863,BsE,"Brookside silty clay loam, 15 to 40 percent slopes",19.0000000,None,OH119,"Muskingum County, Ohio",Not prime farmland,,,,24173693,,,,,,,
537864,74882.000000000000000,537864,Cb,"Chagrin loam, rarely flooded",25.7700005,Rare,OH119,"Muskingum County, Ohio",All areas are prime farmland,,,,24173976,,,,,,,
537865,33467.000000000000000,537865,CcA,"Chavies loam, 0 to 2 percent slopes",22.4099998,None,OH119,"Muskingum County, Ohio",All areas are prime farmland,5,Well drained,Low,24173697,107,203,H3,,0.1300000,71848935,
537866,40078.000000000000000,537866,CcB,"Chavies loam, 2 to 6 percent slopes",22.4099998,None,OH119,"Muskingum County, Ohio",All areas are prime farmland,5,Well drained,Low,24173533,30,107,H2,,0.1600000,71848540,
537867,16247.000000000000000,537867,CeA,"Chili loam, 0 to 3 percent slopes",18.1599998,None,OH119,"Muskingum County, Ohio",All areas are prime farmland,,,,24173537,,,,,,,
537868,12463.000000000000000,537868,CeB,"Chili loam, 3 to 8 percent slopes",18.1599998,None,OH119,"Muskingum County, Ohio",All areas are prime farmland,,,,24173541,,,,,,,
537869,38108.000000000000000,537869,ChA,"Chili gravelly loam, 0 to 3 percent slopes",15.9899998,None,OH119,"Muskingum County, Ohio",All areas are prime farmland,4,Well drained,Low,24173545,0,23,H1,,0.1200000,71848548,
537870,20970.000000000000000,537870,ChB,"Chili gravelly loam, 3 to 8 percent slopes",11.7100000,None,OH119,"Muskingum County, Ohio",All areas are prime farmland,5,Well drained,,24173828,122,152,2BC,2,0.0700000,71849239,
537871,11714.000000000000000,537871,ChC,"Chili gravelly loam, 8 to 15 percent slopes",10.8000002,None,OH119,"Muskingum County, Ohio",Farmland of local importance,4,Well drained,Medium,24174118,0,15,Ap,,0.1300000,71849845,
537872,50306.000000000000000,537872,CkA,"Cidermill silt loam, 0 to 3 percent slopes",24.8299999,None,OH119,"Muskingum County, Ohio",All areas are prime farmland,,,,24173701,,,,,,,
537873,23070.000000000000000,537873,CnB,"Cincinnati silt loam, 2 to 6 percent slopes",21.1700001,None,OH119,"Muskingum County, Ohio",All areas are prime farmland,,,,24173981,,,,,,,
537874,67095.000000000000000,537874,CnC2,"Cincinnati silt loam, 6 to 15 percent slopes, eroded",20.4699993,None,OH119,"Muskingum County, Ohio",Farmland of local importance,4,Well drained,High,24173849,61,127,H3,,0.1000000,71849269,
537875,19410.000000000000000,537875,CpC2,"Clarksburg silt loam, 8 to 15 percent slopes, eroded",18.5599995,None,OH119,"Muskingum County, Ohio",Farmland of local importance,,,,24173853,,,,,,,
537876,42601.000000000000000,537876,CrC,"Claysville-Guernsey silty clay loams, 8 to 15 percent slopes",21.3199997,None,OH119,"Muskingum County, Ohio",Not prime farmland,,,,24173855,,,,,,,
537877,422188.000000000000000,537877,CsC2,"Coshocton silt loam, 8 to 15 percent slopes, eroded",23.0699997,None,OH119,"Muskingum County, Ohio",Farmland of local importance,5,Moderately well drained,,24173804,38,56,Bt1,,0.1500000,71849173,
537878,795154.000000000000000,537878,CsD,"Coshocton silt loam, 15 to 25 percent slopes",19.9599991,None,OH119,"Muskingum County, Ohio",Farmland of local importance,3,Moderately well drained,,24174092,25,36,Bt1,,0.1400000,71849755,
537879,796777.000000000000000,537879,CtE,"Coshocton-Westmoreland silt loams, 25 to 40 percent slopes",20.3400002,None,OH119,"Muskingum County, Ohio",Not prime farmland,,,,24173706,,,,,,,
537880,16393.000000000000000,537880,Ds,"Dumps and Pits, mine",,,OH119,"Muskingum County, Ohio",Not prime farmland,,,,24173984,,,,,,,
537881,191739.000000000000000,537881,FaB,"Fairpoint silty clay loam, 1 to 15 percent slopes",6.2100000,None,OH119,"Muskingum County, Ohio",Not prime farmland,5,Well drained,,24173941,0,14,A,,0.0400000,71849413,
537882,214723.000000000000000,537882,FaD,"Fairpoint silty clay loam, 15 to 25 percent slopes",6.2100000,None,OH119,"Muskingum County, Ohio",Not prime farmland,5,Well drained,,24173943,0,9,A,,0.0800000,71849417,
537883,56244.000000000000000,537883,FaE,"Fairpoint silty clay loam, 25 to 40 percent slopes",6.2100000,None,OH119,"Muskingum County, Ohio",Not prime farmland,5,Well drained,,24173637,0,9,A,,0.0800000,71848767,
537884,86851.000000000000000,537884,FbF,"Fairpoint channery silty clay loam, 25 to 70 percent slopes",9.2399998,None,OH119,"Muskingum County, Ohio",Not prime farmland,5,Well drained,,24173945,3,203,H2,,0.0800000,71849422,
537885,146133.000000000000000,537885,FcA,"Fitchville silt loam, 0 to 3 percent slopes",30.4500008,None,OH119,"Muskingum County, Ohio",Prime farmland if drained,5,Somewhat poorly drained,,24174059,51,102,Bt,,0.2000000,71849598,
537886,64632.000000000000000,537886,FcB,"Fitchville silt loam, 3 to 8 percent slopes",30.4500008,None,OH119,"Muskingum County, Ohio",Farmland of local importance,5,Poorly drained,,24173634,25,140,H2,,0.1600000,71848756,2
537887,10981.000000000000000,537887,FkB,"Frankstown variant-Mertz complex, 3 to 8 percent slopes",14.3199997,None,OH119,"Muskingum County, Ohio",Farmland of local importance,,,,24173985,,,,,,,
537888,80185.000000000000000,537888,GdB,"Gilpin silt loam, 3 to 8 percent slopes",12.8699999,None,OH119,"Muskingum County, Ohio",All areas are prime farmland,3,Moderately well drained,,24173602,25,36,Bt1,,0.1700000,71848631,
537889,423960.000000000000000,537889,GdC,"Gilpin silt loam, 8 to 15 percent slopes",12.6700001,None,OH119,"Muskingum County, Ohio",Not prime farmland,2,Well drained,,24174055,17,39,Bw1,,0.1400000,71849576,
537890,11005.000000000000000,537890,GeD2,"Gilpin-Upshur complex, 15 to 25 percent slopes",14.3199997,None,OH119,"Muskingum County, Ohio",Not prime farmland,4,Well drained,,24173597,0,15,Ap,,0.2200000,71848601,
537891,26813.000000000000000,537891,GeE2,"Gilpin-Upshur complex, 25 to 40 percent slopes, eroded",13.5400000,None,OH119,"Muskingum County, Ohio",Not prime farmland,,,,24173860,,,,,,,
537892,56352.000000000000000,537892,GfA,"Glenford silt loam, 0 to 3 percent slopes",30.4500008,None,OH119,"Muskingum County, Ohio",All areas are prime farmland,5,Moderately well drained,,24173772,86,127,BC,,0.2000000,71849039,
537893,277983.000000000000000,537893,GfB,"Glenford silt loam, 3 to 8 percent slopes",30.4500008,None,OH119,"Muskingum County, Ohio",All areas are prime farmland,5,Somewhat poorly drained,,24174062,51,102,Bt,,0.2000000,71849612,
537894,173429.000000000000000,537894,GfC2,"Glenford silt loam, 8 to 15 percent slopes",30.4699993,None,OH119,"Muskingum County, Ohio",Not prime farmland,5,Moderately well drained,,24173775,0,25,Ap,,0.2300000,71849050,
537895,454927.000000000000000,537895,GtC2,"Guernsey-Upshur silty clay loams, 6 to 15 percent slopes, eroded",17.8500004,None,OH119,"Muskingum County, Ohio",Not prime farmland,5,Moderately well drained,Very high,24173715,0,18,H1,,0.2000000,71848949,
537896,305633.000000000000000,537896,GtD2,"Guernsey-Upshur silty clay loams, 15 to 25 percent slopes, eroded",17.8199997,None,OH119,"Muskingum County, Ohio",Farmland of local importance,,,,24173991,,,,,,,
537897,13542.000000000000000,537897,HaC2,"Homewood silt loam, 8 to 15 percent slopes, eroded",19.8199997,None,OH119,"Muskingum County, Ohio",Farmland of local importance,4,Moderately well drained,High,24173720,117,203,H4,,0.0800000,71848959,
537898,20238.000000000000000,537898,HaD2,"Homewood silt loam, 15 to 20 percent slopes, eroded",19.8199997,None,OH119,"Muskingum County, Ohio",Farmland of local importance,,,,24173996,,,,,,,
537899,10154.000000000000000,537899,JtA,"Jimtown loam, 0 to 3 percent slopes",19.2399998,None,OH119,"Muskingum County, Ohio",Prime farmland if drained,,,,24173548,,,,,,,
537900,230822.000000000000000,537900,KeB,"Keene silt loam, 3 to 8 percent slopes",21.2700005,None,OH119,"Muskingum County, Ohio",Farmland of local importance,3,Well drained,,24174065,13,76,Bt,,0.1500000,71849624,
537901,291627.000000000000000,537901,KeC2,"Keene silt loam, 6 to 15 percent slopes, eroded",24.3600006,None,OH119,"Muskingum County, Ohio",Farmland of local importance,,,,24173552,,,,,,,
537902,6863.000000000000000,537902,Km,"Killbuck silt loam, occasionally flooded",29.3500004,Occasional,OH119,"Muskingum County, Ohio",Prime farmland if drained,5,Poorly drained,Low,24173557,0,25,H1,,0.2300000,71848560,2
537903,8197.000000000000000,537903,LaC,"Lakin loamy fine sand, 8 to 15 percent slopes",9.4600000,None,OH119,"Muskingum County, Ohio",Not prime farmland,,,,24174001,,,,,,,
537904,7143.000000000000000,537904,LcD,"Lakin-Alford complex, 15 to 25 percent slopes",18.2999992,None,OH119,"Muskingum County, Ohio",Not prime farmland,5,Well drained,High,24173722,0,10,H1,,0.2300000,71848960,
537905,215380.000000000000000,537905,Lk,"Lindside silt loam, 0 to 3 percent slopes, occasionally flooded",29.8500004,Occasional,OH119,"Muskingum County, Ohio",All areas are prime farmland,5,Somewhat poorly drained,,24173623,0,20,Ap,,0.1800000,71848702,
537906,136139.000000000000000,537906,Lm,"Lobdell loam, channery substratum, occasionally flooded",23.2800007,Occasional,OH119,"Muskingum County, Ohio",All areas are prime farmland,,,,24173728,,,,,,,2
537907,39704.000000000000000,537907,Lo,Lorain silty clay,16.9599991,None,OH119,"Muskingum County, Ohio",Prime farmland if drained,5,Very poorly drained,High,24173864,122,152,H3,,0.1200000,71849293,2
537908,136896.000000000000000,537908,LpC2,"Lowell silt loam, moderately wet, 8 to 15 percent slopes",18.4899998,None,OH119,"Muskingum County, Ohio",Not prime farmland,3,Moderately well drained,,24173769,18,46,Bt1,,0.1900000,71849026,
537909,216214.000000000000000,537909,LpD2,"Lowell silt loam, moderately wet, 15 to 25 percent slopes",18.6000004,None,OH119,"Muskingum County, Ohio",Farmland of local importance,5,Moderately well drained,,24173606,38,56,Bt1,,0.1500000,71848649,
537910,406501.000000000000000,537910,LrE2,"Lowell-Gilpin complex, 25 to 40 percent slopes, eroded",16.8199997,None,OH119,"Muskingum County, Ohio",Not prime farmland,5,Well drained,Very high,24173867,0,18,H1,,0.2100000,71849294,
537911,36154.000000000000000,537911,LrF,"Lowell-Gilpin complex, 40 to 70 percent slopes",17.4899998,None,OH119,"Muskingum County, Ohio",Not prime farmland,5,Well drained,Very high,24173871,0,18,H1,,0.2100000,71849301,
537912,15734.000000000000000,537912,Lu,Luray silty clay loam,30.4200001,None,OH119,"Muskingum County, Ohio",Prime farmland if drained,5,Very poorly drained,Medium,24174003,41,140,H2,,0.2000000,71849509,2
537913,54311.000000000000000,537913,MaB,"Markland silt loam, 2 to 6 percent slopes",18.3999996,None,OH119,"Muskingum County, Ohio",All areas are prime farmland,5,Moderately well drained,High,24173732,71,203,H3,,0.1000000,71848972,
537914,56141.000000000000000,537914,MbC2,"Markland silty clay loam, 6 to 15 percent slopes, eroded",17.5699997,None,OH119,"Muskingum County, Ohio",Farmland of local importance,5,Moderately well drained,Very high,24174007,0,15,H1,,0.1900000,71849511,
537915,96455.000000000000000,537915,McD2,"Markland-Glenford complex, 15 to 35 percent slopes, eroded",20.3299999,None,OH119,"Muskingum County, Ohio",Farmland of local importance,5,Moderately well drained,Very high,24173736,79,203,H3,,0.1000000,71848975,
537916,27819.000000000000000,537916,MdA,"McGary silt loam, 0 to 3 percent slopes",21.0900002,None,OH119,"Muskingum County, Ohio",Prime farmland if drained,,,,24173561,,,,,,,2
537917,211639.000000000000000,537917,Me,"Melvin silt loam, 0 to 3 percent slopes, frequently flooded",30.0200005,Frequent,OH119,"Muskingum County, Ohio",Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,5,Well drained,,24174104,0,20,Ap,,0.2200000,71849813,
537918,27465.000000000000000,537918,MkD,"Mertz very cherty silt loam, 15 to 35 percent slopes",18.9599991,None,OH119,"Muskingum County, Ohio",Not prime farmland,,,,24173564,,,,,,,
537926,433642.000000000000000,537926,Ne,"Newark silt loam, 0 to 3 percent slopes, frequently flooded",24.3600006,Frequent,OH119,"Muskingum County, Ohio",Prime farmland if drained and either protected from flooding or not frequently flooded during the growing season,5,Somewhat poorly drained,Low,24173785,22,47,Bw,,0.1600000,71849106,
537927,207927.000000000000000,537927,No,"Nolin silt loam, 0 to 3 percent slopes, occasionally flooded",30.3400002,Occasional,OH119,"Muskingum County, Ohio",All areas are prime farmland,5,Poorly drained,,24173919,0,18,Ap,,0.2100000,71849349,2
537930,64578.000000000000000,537930,RaB,"Rawson silt loam, 2 to 6 percent slopes",20.3799992,None,OH119,"Muskingum County, Ohio",All areas are prime farmland,,,,24174011,,,,,,,
537931,151505.000000000000000,537931,RfC,"Rigley loam, 8 to 15 percent slopes",17.5200005,None,OH119,"Muskingum County, Ohio",Farmland of local importance,,,,24173743,,,,,,,
537932,330678.000000000000000,537932,RgD,"Rigley channery loam, 15 to 25 percent slopes",17.3099995,None,OH119,"Muskingum County, Ohio",Farmland of local importance,,,,24174017,,,,,,,
537933,349743.000000000000000,537933,RhE,"Rigley-Coshocton complex, 25 to 40 percent slopes",17.4500008,None,OH119,"Muskingum County, Ohio",Not prime farmland,,,,24173569,,,,,,,
537934,30131.000000000000000,537934,RoF,"Rodman gravelly sandy loam, 25 to 70 percent slopes",8.5799999,None,OH119,"Muskingum County, Ohio",Not prime farmland,3,Excessively drained,Medium,24173576,51,152,H3,,0.0300000,71848579,
537935,105138.000000000000000,537935,Se,Sebring silt loam,24.7999992,None,OH119,"Muskingum County, Ohio",Prime farmland if drained,5,Poorly drained,Low,24173580,25,140,H2,,0.1600000,71848581,2
537936,14570.000000000000000,537936,St,"Stonelick loam, occasionally flooded",17.5499992,Occasional,OH119,"Muskingum County, Ohio",All areas are prime farmland,,,,24173586,,,,,,,
537937,85283.000000000000000,537937,Ta,"Tioga fine sandy loam, rarely flooded",19.8799992,Rare,OH119,"Muskingum County, Ohio",All areas are prime farmland,,,,24174021,,,,,,,
537938,68743.000000000000000,537938,Tf,"Tioga fine sandy loam, occasionally flooded",21.4500008,Occasional,OH119,"Muskingum County, Ohio",All areas are prime farmland,,,,24173747,,,,,,,
537939,105564.000000000000000,537939,Ud,"Udorthents, loamy, hilly",,,OH119,"Muskingum County, Ohio",Not prime farmland,,,,24174025,,,,,,,
537940,9961.000000000000000,537940,Ug,"Udorthents, sandy, rolling",,,OH119,"Muskingum County, Ohio",Not prime farmland,,,,24173751,,,,,,,
537941,21821.000000000000000,537941,Uh,"Udorthents, sandy-skeletal, steep",,,OH119,"Muskingum County, Ohio",Not prime farmland,,,,24173877,,,,,,,
537942,42516.000000000000000,537942,Uk,Udorthents-Pits complex,,,OH119,"Muskingum County, Ohio",Not prime farmland,,,,24173881,,,,,,,
537943,30331.000000000000000,537943,UsB,"Urban land-Glenford complex, 2 to 8 percent slopes",23.1900005,,OH119,"Muskingum County, Ohio",Not prime farmland,5,Moderately well drained,High,24173885,0,23,H1,,0.1800000,71849308,
537944,22336.000000000000000,537944,UtA,"Urban land-Nolin complex, rarely flooded",31.5000000,,OH119,"Muskingum County, Ohio",Not prime farmland,5,Well drained,Low,24173891,18,152,H2,,0.2100000,71849312,
537945,71493.000000000000000,537945,UvB,"Urban land-Watertown complex, 1 to 15 percent slopes",10.4799995,,OH119,"Muskingum County, Ohio",Not prime farmland,3,Well drained,Low,24173754,0,25,H1,,0.1200000,71848985,
537946,40638.000000000000000,537946,UwC,"Urban land-Wellston complex, 5 to 15 percent slopes",25.2000008,,OH119,"Muskingum County, Ohio",Not prime farmland,,,,24174029,,,,,,,
537947,234761.000000000000000,537947,W,Water,,,OH119,"Muskingum County, Ohio",Not prime farmland,,,,24173758,,,,,,,
537948,89291.000000000000000,537948,WaB,"Watertown sandy loam, 1 to 8 percent slopes",10.6199999,None,OH119,"Muskingum County, Ohio",Farmland of local importance,3,Well drained,Low,24174036,107,203,H4,,0.0500000,71849530,
537949,22160.000000000000000,537949,WaC,"Watertown sandy loam, 8 to 15 percent slopes",10.6199999,None,OH119,"Muskingum County, Ohio",Farmland of local importance,3,Well drained,Low,24173588,107,203,H4,,0.0500000,71848587,
537950,129026.000000000000000,537950,WhB,"Wellston silt loam, 3 to 8 percent slopes",17.5000000,None,OH119,"Muskingum County, Ohio",Farmland of local importance,3,Well drained,,24174070,0,5,A,,0.2300000,71849649,
537951,434019.000000000000000,537951,WhC,"Wellston silt loam, 8 to 15 percent slopes",17.7299995,None,OH119,"Muskingum County, Ohio",Not prime farmland,3,Well drained,,24173781,0,5,A,,0.2300000,71849084,
537952,55359.000000000000000,537952,WmB,"Westgate silt loam, 2 to 6 percent slopes",28.2399998,None,OH119,"Muskingum County, Ohio",All areas are prime farmland,,,,24173591,,,,,,,
537953,209361.000000000000000,537953,WmC2,"Westgate silt loam, 6 to 15 percent slopes, eroded",28.2399998,None,OH119,"Muskingum County, Ohio",Farmland of local importance,,,,24174038,,,,,,,
